K-POP을 체험해 볼 수 있는 곳은, 76, 4, 27, 2, 77, 5, 99, 4, 89, 3, 91, 1, 93, 2, 75, 4, 95, 2, 92, 3
케이팝 스타를 만나보거나 느껴보고 싶어, 89, 2, 75, 3, 93, 4, 94, 2, 27, 3, 90, 2, 76, 6, 6, 5, 100, 1, 99, 1
연예인들을 만날 수 있을까, 91, 1, 59, 5, 100, 2, 88, 4, 75, 4, 31, 3, 99, 2, 89, 2, 93, 1, 90, 1
한국에서 유명한 비보이 공연을 볼 수 있을까, 77, 10, 70, 8, 6, 7, 76, 5, 88, 1, 97, 2, 100, 1, 91, 2, 89, 1, 98, 1
고궁이나 국립 박물관이 어디가 좋을까, 88, 10, 89, 8, 91, 6, 100, 6, 97, 5, 101, 5, 93, 7, 27, 5, 96, 8, 90, 10
한국의 전통 문화를 체험해 보고 싶어, 100, 8, 88, 7, 97, 3, 94, 4, 89, 4, 95, 6, 99, 6, 98, 2, 8, 2, 101, 1
한국의 역사와 전통을 알고 싶어, 100, 8, 99, 7, 96, 10, 90, 5, 88, 7, 97, 3, 94, 4, 89, 5, 91, 2, 70, 4
조선의 역사 문물을 만나보고 싶어, 88, 10, 93, 3, 90, 5, 94, 2, 96, 4, 27, 5, 6, 2, 31, 2, 89, 7, 100, 6
근현대 미술을 볼 수 있는 곳은, 91, 10, 97, 9, 96, 4, 92, 7, 99, 4, 98, 3, 90, 3, 89, 6, 93, 4, 75, 2
서울을 대표하는 미술관은, 92, 10, 91, 9, 97, 7, 90, 3, 31, 6, 101, 2, 8, 3, 6, 1, 95, 7, 88, 4
도시에서 가까운 미술관이나 박물관은, 97, 10, 90, 2, 6, 2, 88, 6, 92, 7, 77, 1, 91, 7, 93, 2, 70, 1, 89, 4
직접 체험해 볼 수 있는 문화 공간은, 99, 8, 95, 6, 96, 4, 70, 5, 8, 2, 88, 4, 91, 3, 93, 4, 101, 3, 97, 2
전쟁을 추모하는 기념관은 어디야, 94, 10, 93, 2, 101, 1, 6, 2, 91, 3, 95, 2, 88, 2, 99, 1, 97, 1, 92, 2
오페라 같은 문화 예술 공연을 볼 수 있는 곳은, 95, 9, 77, 2, 6, 3, 76, 5, 70, 4, 88, 2, 99, 2, 89, 3, 91, 3, 93, 3
유명한 건축가가 건축한 건축물을 보고 싶어, 97, 8, 8, 9, 6, 1, 101, 2, 89, 3, 88, 4, 27, 3, 94, 2, 91, 1, 100, 1
독립 운동가를 기리는 장소는 어디야, 98, 10, 27, 3, 101, 2, 93, 1, 6, 2, 99, 2, 90, 6, 94, 10, 8, 3, 96, 2
역사 교육 현장은 어디가 좋을까, 98, 9, 96, 10, 89, 3, 100, 2, 101, 1, 27, 5, 90, 3, 76, 2, 88, 7, 97, 3
한국 전통 음식을 체험하고 역사를 알 수 있는 곳은, 100, 8, 99, 7, 96, 2, 88, 3, 90, 2, 97, 1, 76, 2, 91, 2, 89, 3, 93, 1
젊은이들이 모이는 문화 예술의 거리는, 6, 7, 101, 8, 95, 5, 59, 9, 88, 3, 77, 5, 89, 3, 76, 2, 94, 1, 91, 3
음악 페스티벌 하는 곳은, 59, 10, 6, 8, 77, 5, 89, 3, 92, 4, 93, 4, 99, 7, 75, 3, 76, 4, 95, 2
예술영화를 사영하는 곳은, 6, 7, 95, 6, 99, 4, 89, 1, 77, 3, 75, 3, 97, 4, 92, 1, 90, 2, 94, 1
뮤지컬을 보고 싶어, 77, 8, 89, 3, 94, 1, 91, 2, 100, 1, 90, 3, 92, 4, 95, 7, 97, 2, 8, 3
야외 공연 하는 곳은 어디야, 77, 3, 95, 4, 91, 3, 93, 2, 76, 7, 6, 8, 70, 3, 101, 2, 89, 1, 92, 1
한국의 오래된 유물을 보고 싶어, 88, 8, 89, 3, 100, 5, 94, 5, 97, 2, 98, 6, 91, 5, 95, 5, 90, 6, 92, 4
현대미술을 보고 싶을때 어디로 가야할까, 91, 10, 97, 7, 92, 8, 94, 2, 100, 2, 90, 2, 76, 2, 99, 4, 75, 3, 77, 1
다양한 문화를 체험할 수 있는 복합문화공간은 어디야?, 95, 7, 93, 4, 8, 3, 88, 5, 99, 4, 101, 7, 6, 2, 92, 1, 76, 2, 91, 3
외국인이 꼭 들려야할 문화 공간은, 100, 7, 93, 3, 101, 7, 95, 5, 8, 6, 88, 6, 6, 4, 97, 2, 91, 3, 76, 2
