그릇을 살 때는 어디로 가야해, 37, 1, 48, 2, 45, 3, 9, 8, 29, 6, 55, 7, 10, 3, 47, 9, 65, 8, 8, 6
가방이나 패션 잡화를 살 수 있는 곳을 알려줘, 9, 8, 45, 6, 55, 7, 50, 3, 47, 9, 29, 3, 53, 6, 5, 7, 46, 5, 54, 8
노점상이 많은 곳은 어디야, 50, 9, 48, 8, 37, 3, 10, 3, 65, 7, 29, 3, 34, 7z, 54,  2, 45, 2, 8, 6
명품 상점이 모여 있는 곳을 알려줘, 54, 10, 10, 8, 29, 7, 36, 2, 48, 5, 65, 2, 8, 7, 37, 1, 45, 3, 55, 6
집안 가구를 살 수 있는 곳을 알고싶어, 10, 2, 45, 3, 29, 5, 55, 2, 54, 7, 49, 6, 48, 3, 65, 3, 56, 1, 8, 5
특이한 쇼핑몰이 모여있는 곳은 어디야, 50, 8, 37, 2, 53, 3, 28, 6, 65, 6, 48, 7, 47, 7, 54, 6, 29, 3, 34, 2
젊은이들이 옷을 사는 곳을 알려줘, 50, 1, 48, 8, 45, 7, 55, 6, 28, 8, 34, 2, 54, 6, 65, 4, 29, 6, 8, 9
저렴한 패션 아이템을 어디서 사야해, 37, 1, 47, 9, 45, 6, 28, 7, 10, 5, 53, 6, 55, 6, 8, 8, 5, 6, 46, 4
럭셔리한 물건들을 사고 싶어, 29, 7, 37, 1, 36, 3, 49, 6, 34, 2, 50, 1, 45, 5, 55, 4, 8, 5, 53, 7, 55, 4, 8, 3, 53, 7
패션에 민감한 상품을 사고싶어, 55, 5, 53, 6, 50, 4, 45, 3, 47, 8, 46, 4, 49, 8, 29, 6, 28, 7, 34, 4
화랑에서 미술품을 사고 싶어, 46, 9, 37, 1, 36, 3, 52, 5, 29, 6, 49, 7, 34, 3, 50, 4, 10, 6, 54, 8
전통시장에서 건어물과 과일을 사고 싶어, 34, 8, 36, 8, 37, 9, 9, 7, 46, 2, 56, 4, 52, 5, 8, 1, 47, 2, 29, 1
식재료를 살 수 있는 곳이 있을까, 45, 2, 52, 6, 55, 2, 29, 1, 50, 8, 54, 2, 48, 2, 65, 7, 56, 3, 10, 1
수산물을 직접 사고 싶어, 37, 10, 52, 5, 36, 7, 29, 4, 49, 3, 34, 8, 50, 7, 9, 8, 49, 1, 45, 1, 55, 2
유명한 지하 상가가 어디야, 50, 2, 45, 10, 28, 8, 37, 1, 49, 7, 55, 2, 48, 3, 34, 2, 56, 3, 10, 3
의류를 싸게 살 수 있는 곳은, 55, 7, 45, 5, 29, 3, 47, 10, 9, 7, 10, 3, 65, 4, 48, 7, 54, 3, 50, 1
공예품을 사고 싶어, 37, 10, 46, 9, 36, 4, 9, 6, 29, 5, 49, 3, 34, 6, 50, 6, 45, 2, 55, 2
디자인 상품은 어디에서 사야해, 37, 1, 8, 8, 55, 6, 10, 3, 50, 7, 45, 3, 52, 4, 46, 9, 34, 3, 65, 4
최신 유행 아이템을 싸게 살 수 있는 곳은, 47, 10, 55, 8, 45, 8, 29, 4, 5, 6, 28, 6, 10, 7, 65, 3, 48, 7, 54, 7
유명 브랜드 숍이 모여 있는 곳은, 54, 10, 55, 7, 29, 7, 36, 4, 47, 6, 28, 6, 65, 4, 48, 7, 53, 6, 34, 2
아울렛 쇼핑몰을 알려줘, 55, 10, 53, 8, 28, 8, 47, 10, 37, 1, 45, 7, 46, 6, 5, 8, 9, 6
백화점을 추천해줘, 54, 10, 5, 9, 37, 1, 45, 3, 55, 6, 8, 7, 46, 6, 47, 7, 9, 6, 10, 4
중고품을 사고 파는 곳이 어딜까, 10, 6, 54, 6, 48, 2, 65, 7, 29, 3, 8, 4, 37, 1, 45, 6, 55, 4, 52, 6
대학가 벼룩시장을 알려줘, 50, 2, 48, 9, 55, 3, 49, 4, 37, 4, 28, 2, 34, 4, 56, 2, 45, 2, 8, 6
패션 매장이 즐비한 복합 쇼핑 상가는, 53, 9, 46, 3, 50, 2, 5, 8, 45, 7, 47, 10, 8, 10, 55, 9, 28, 7, 54, 6
브랜드 매장이 있는 곳은, 53, 8, 54, 10, 28, 7, 55, 7, 29, 6, 65, 3, 48, 5, 34, 2, 10, 6, 8, 7
한약이나 약재를 구입하고 싶어, 56, 10, 36, 7, 37, 1, 5, 2, 47, 2, 49, 1, 9, 6, 29, 6, 46, 5, 50, 5
도깨비 시장이 있을까, 65, 10, 56, 5, 9, 6, 34, 7, 36, 7, 47, 8, 55, 6, 48, 5, 54, 2, 10, 3
최근에 쇼핑족이 몰리는 곳은 어디야, 5, 7, 37, 1, 50, 3, 48, 9, 45, 7, 65, 3, 28, 9, 55, 6, 54, 8, 49, 9
